Fecha,Embalse Arroyito (m3/s),Embalse Chañar (m3/s)
15/11/2023,500,294
16/11/2023,500,301
17/11/2023,500,309
18/11/2023,500,312
19/11/2023,500,303
20/11/2023,500,300
21/11/2023,500,302
22/11/2023,500,292
23/11/2023,500,296
24/11/2023,500,299
25/11/2023,500,300
26/11/2023,500,294
27/11/2023,500,301
28/11/2023,500,314
29/11/2023,500,326
30/11/2023,500,349
01/12/2023,500,359
02/12/2023,500,361
03/12/2023,500,342
04/12/2023,500,307
05/12/2023,500,316
06/12/2023,500,332
07/12/2023,500,350
08/12/2023,500,364
09/12/2023,500,357
10/12/2023,500,350
11/12/2023,500,357
12/12/2023,500,364
13/12/2023,500,352
14/12/2023,500,348
15/12/2023,500,349
16/12/2023,500,350
17/12/2023,500,239
18/12/2023,456,264
19/12/2023,400,313
20/12/2023,400,344
21/12/2023,400,355
22/12/2023,400,359
23/12/2023,400,359
24/12/2023,400,366
25/12/2023,400,335
26/12/2023,400,329
27/12/2023,400,321
28/12/2023,400,329
29/12/2023,400,342
30/12/2023,400,335
31/12/2023,400,318
01/01/2024,400,285
02/01/2024,400,289
03/01/2024,400,294
04/01/2024,430,286
05/01/2024,515,295
06/01/2024,615,303
07/01/2024,640,308
08/01/2024,640,298
09/01/2024,640,302
10/01/2024,640,303
11/01/2024,640,303
12/01/2024,640,303
13/01/2024,640,299
14/01/2024,640,299
15/01/2024,640,303
16/01/2024,640,300
17/01/2024,640,289
18/01/2024,640,287
19/01/2024,640,287
20/01/2024,640,288
21/01/2024,640,292
22/01/2024,620,313
23/01/2024,640,300
24/01/2024,640,281
25/01/2024,640,282
26/01/2024,640,278
27/01/2024,640,276
28/01/2024,640,281
29/01/2024,695,310
30/01/2024,700,357
31/01/2024,700,379
01/02/2024,700,392
02/02/2024,785,387
03/02/2024,800,347
04/02/2024,800,322
05/02/2024,800,324
06/02/2024,800,376
07/02/2024,800,387
08/02/2024,800,398
09/02/2024,800,402
10/02/2024,690,359
11/02/2024,609,308
12/02/2024,600,295
13/02/2024,600,285
14/02/2024,550,252
15/02/2024,500,255
16/02/2024,500,259
17/02/2024,500,261
18/02/2024,500,262
19/02/2024,500,262
20/02/2024,565,284
21/02/2024,675,336
22/02/2024,790,378
23/02/2024,800,394
24/02/2024,710,352
25/02/2024,620,300
26/02/2024,530,265
27/02/2024,500,260
28/02/2024,500,265
29/02/2024,500,268
01/03/2024,500,238
02/03/2024,500,203
03/03/2024,500,196
04/03/2024,500,195
05/03/2024,465,197
06/03/2024,400,193
07/03/2024,352,195
08/03/2024,348,194
09/03/2024,348,197
10/03/2024,348,197
11/03/2024,348,192
12/03/2024,348,192
13/03/2024,348,211
14/03/2024,348,208
15/03/2024,348,197
16/03/2024,348,194
17/03/2024,348,194
18/03/2024,348,199
19/03/2024,348,201
20/03/2024,348,198
21/03/2024,348,199
22/03/2024,348,198
23/03/2024,348,193
24/03/2024,348,192
25/03/2024,348,195
26/03/2024,348,195
27/03/2024,348,195
28/03/2024,348,193
29/03/2024,348,196
30/03/2024,348,195
31/03/2024,348,193
