Fecha,Temperatura Mínima (ºC),Temperatura Máxima (ºC)
15/11/2023,9.1,18.8
16/11/2023,10.8,20.3
17/11/2023,9.6,18.4
18/11/2023,7.9,19.4
19/11/2023,9.3,23.1
20/11/2023,10.5,25.5
21/11/2023,11.9,22.5
22/11/2023,13.9,21.2
23/11/2023,9.6,24
24/11/2023,11.3,32.8
25/11/2023,15.2,32.2
26/11/2023,16.9,31.7
27/11/2023,14.7,27.1
28/11/2023,16.7,25.1
29/11/2023,13.5,26.6
30/11/2023,12.5,29.3
01/12/2023,13.1,25.9
02/12/2023,11.1,17.4
03/12/2023,7,19.8
04/12/2023,8.8,26.6
05/12/2023,15,26.6
06/12/2023,17.4,27.9
07/12/2023,15.5,31.2
08/12/2023,16.1,29.8
09/12/2023,14.2,26.1
10/12/2023,12.8,33.1
11/12/2023,20.2,28.5
12/12/2023,16.8,26.1
13/12/2023,13.4,26.8
14/12/2023,16.2,30.3
15/12/2023,13.6,33.1
16/12/2023,16.6,31.4
17/12/2023,13.7,20.3
18/12/2023,9.4,18.9
19/12/2023,12.6,18.1
20/12/2023,10.7,24.8
21/12/2023,13.5,31.2
22/12/2023,23.4,29.1
23/12/2023,16.1,28.8
24/12/2023,13.5,30.7
25/12/2023,13.8,31.1
26/12/2023,16.3,28.9
27/12/2023,17.8,35.1
28/12/2023,20.6,29.9
29/12/2023,17,26.4
30/12/2023,14.6,34.4
31/12/2023,22,31.8
01/01/2024,21.1,32.7
02/01/2024,18.2,34
03/01/2024,19.3,32
04/01/2024,17.8,33.2
05/01/2024,21.6,29.6
06/01/2024,17.7,28.3
07/01/2024,17.9,27.3
08/01/2024,15.6,26.5
09/01/2024,15.5,27.8
10/01/2024,15.3,28.3
11/01/2024,14.4,29.3
12/01/2024,16.7,27.3
13/01/2024,15.3,27.7
14/01/2024,16.1,28.1
15/01/2024,17.2,29.2
16/01/2024,17.1,29.4
17/01/2024,16.1,36.2
18/01/2024,18.8,28.1
19/01/2024,14.6,32.5
20/01/2024,16.7,36
21/01/2024,21.3,36
22/01/2024,22.4,36.3
23/01/2024,23.9,38.3
24/01/2024,20.5,33.8
25/01/2024,17.7,39.4
26/01/2024,21,36.5
27/01/2024,20.1,35.1
28/01/2024,23,39
29/01/2024,19.6,33.1
30/01/2024,18.9,33.6
31/01/2024,19.7,33.1
01/02/2024,18.3,36
02/02/2024,23.4,33.1
03/02/2024,19,27.8
04/02/2024,15.5,31.8
05/02/2024,17.5,31
06/02/2024,16.1,34.3
07/02/2024,22.7,28.8
08/02/2024,19.2,29.4
09/02/2024,17.5,24.7
10/02/2024,16.4,26.1
11/02/2024,17,30.2
12/02/2024,14.7,23.9
13/02/2024,14.3,28.4
14/02/2024,16.5,32.3
15/02/2024,18.5,34.5
16/02/2024,22.2,38.2
17/02/2024,18.3,30.2
18/02/2024,16.4,30.6
19/02/2024,18.8,36.4
20/02/2024,21.6,32
21/02/2024,18.5,29.6
22/02/2024,18.4,24.7
23/02/2024,15.1,24.5
24/02/2024,15,25.6
25/02/2024,17.1,23.7
26/02/2024,15.9,28.5
27/02/2024,14.4,30.5
28/02/2024,17.5,27.2
29/02/2024,14.9,31.6
01/03/2024,19.2,31.8
02/03/2024,16.7,24.9
03/03/2024,12.3,25.6
04/03/2024,12.2,23.8
05/03/2024,12.2,27
06/03/2024,14.2,28.4
07/03/2024,14,26
08/03/2024,16,26
09/03/2024,14.1,24.6
10/03/2024,10.5,26.4
11/03/2024,12.4,27.3
12/03/2024,15.6,26.3
13/03/2024,12,27.7
14/03/2024,13.6,23.2
15/03/2024,9.8,25.8
16/03/2024,12,24
17/03/2024,10.1,22.7
18/03/2024,9.2,21.4
19/03/2024,10.6,29.3
20/03/2024,12.7,23.8
21/03/2024,4.7,20.9
22/03/2024,10.3,22.2
23/03/2024,12.9,27.2
24/03/2024,12.7,25.1
25/03/2024,12.4,30.5
26/03/2024,16.8,30.1
27/03/2024,15.1,25.5
28/03/2024,10.4,29.6
29/03/2024,13.5,28
30/03/2024,9.4,19.6
31/03/2024,8,18.2
