fecha,anno,mes,dia,t.mean,t.max,t.min,v,r,hPa
1-1-2024,2024,1,1,29,35,22,15.7,46.3,1011.2
2-1-2024,2024,1,2,27,36,20,7,31.5,1012.2
3-1-2024,2024,1,3,27,35,20,15,53.7,1011.5
4-1-2024,2024,1,4,26,35,19,6.9,0,1011.7
5-1-2024,2024,1,5,27,32,20,13.5,44.4,1010.3
6-1-2024,2024,1,6,26,32,19,14.3,40.7,1009.8
7-1-2024,2024,1,7,25,30,17,13.4,55.6,1009
8-1-2024,2024,1,8,23,30,17,12.7,61.1,1011.3
9-1-2024,2024,1,9,23,30,16,16,0,1011.5
10-1-2024,2024,1,10,28,31,22,5.9,31.5,1013.5
11-1-2024,2024,1,11,23,30,15,16.4,0,1017.2
12-1-2024,2024,1,12,23,30,16,9.1,0,1011.8
13-1-2024,2024,1,13,23,31,12,13.7,57.4,1009.7
14-1-2024,2024,1,14,22,31,17,21.7,64.8,1013.3
15-1-2024,2024,1,15,24,32,17,11.7,42.6,1009.7
16-1-2024,2024,1,16,30,32,26,8.4,40.7,1014.3
17-1-2024,2024,1,17,28,37,18,13.1,53.7,1009
18-1-2024,2024,1,18,25,33,19,19.8,63,1011.3
19-1-2024,2024,1,19,23,35,12,3.6,24.1,1014.5
20-1-2024,2024,1,20,26,37,14,9.9,0,1011.8
21-1-2024,2024,1,21,30,37,23,12.1,51.9,1012.7
22-1-2024,2024,1,22,31,37,24,14.6,38.9,1013.8
23-1-2024,2024,1,23,31,39,25,14.7,57.4,1009.2
24-1-2024,2024,1,24,29,36,21,7.2,0,1009.8
25-1-2024,2024,1,25,28,41,17,4.9,0,1007.1
26-1-2024,2024,1,26,32,38,21,6.9,0,1007.9
27-1-2024,2024,1,27,31,38,22,4.8,0,1010.2
28-1-2024,2024,1,28,31,39,24,10.3,53.7,1007.4
29-1-2024,2024,1,29,29,35,20,13.4,0,1011.3
30-1-2024,2024,1,30,28,37,17,7.7,0,1010.8
31-1-2024,2024,1,31,28,36,20,8.6,0,1011.6
1-2-2024,2024,2,1,29,37,19,7.2,0,1013
2-2-2024,2024,2,2,29,36,24,12,48.2,1010.9
3-2-2024,2024,2,3,26,30,20,13.7,50,1015.3
4-2-2024,2024,2,4,24,32,16,15.4,51.9,1015
5-2-2024,2024,2,5,27,35,17,5.9,38.9,1009.3
6-2-2024,2024,2,6,27,37,16,5.6,0,1009.5
7-2-2024,2024,2,7,28,32,23,9.2,0,1009.3
8-2-2024,2024,2,8,26,32,18,8.5,0,1012.3
9-2-2024,2024,2,9,22,29,19,10.3,48.2,1013.8
10-2-2024,2024,2,10,22,28,16,5.2,46.3,1014.2
11-2-2024,2024,2,11,24,32,17,7.6,48.2,1010.5
12-2-2024,2024,2,12,21,26,16,9.9,0,1017.9
13-2-2024,2024,2,13,21,29,13,12.9,46.3,1020.7
14-2-2024,2024,2,14,25,34,17,12,37,1014.3
15-2-2024,2024,2,15,28,37,19,7.3,0,1010.4
16-2-2024,2024,2,16,31,39,25,12.7,0,1008.1
17-2-2024,2024,2,17,28,35,21,10,44.4,1012.5
18-2-2024,2024,2,18,24,33,18,8,0,1017
19-2-2024,2024,2,19,29,38,21,7.3,0,1011.8
20-2-2024,2024,2,20,29,34,21,8.6,0,1007.3
21-2-2024,2024,2,21,26,32,19,12.8,0,1008.5
22-2-2024,2024,2,22,23,27,19,17,53.7,1008.5
23-2-2024,2024,2,23,21,27,15,8.3,44.4,1017.1
24-2-2024,2024,2,24,21,29,15,16.4,44.4,1019.7
25-2-2024,2024,2,25,21,26,17,12.3,42.6,1018.1
26-2-2024,2024,2,26,23,31,15,7.3,0,1014.9
27-2-2024,2024,2,27,23,32,14,5.2,0,1011.4
28-2-2024,2024,2,28,23,29,16,8.6,0,1011.3
29-2-2024,2024,2,29,22,32,11,6.4,0,1015.1
1-3-2024,2024,3,1,27,34,22,9.7,0,1010.1
2-3-2024,2024,3,2,23,29,17,15.2,57.4,1013.8
3-3-2024,2024,3,3,18,26,8,4.9,0,1018.4
4-3-2024,2024,3,4,19,26,12,9.3,38.9,1019.5
5-3-2024,2024,3,5,20,28,12,12.9,0,1018.2
6-3-2024,2024,3,6,22,30,14,5.9,0,1009.6
7-3-2024,2024,3,7,20,29,11,3.6,0,1008.9
8-3-2024,2024,3,8,22,28,17,15.5,61.1,1006.5
9-3-2024,2024,3,9,20,28,14,12.6,46.3,1012
10-3-2024,2024,3,10,19,28,9,2.9,0,1010.8
11-3-2024,2024,3,11,21,29,11,6,0,1010.6
12-3-2024,2024,3,12,23,28,16,11.6,50,1008.2
13-3-2024,2024,3,13,20,30,10,8.9,46.3,1010.6
14-3-2024,2024,3,14,21,25,15,12.7,37,1012.7
15-3-2024,2024,3,15,18,29,10,8.6,0,1010.3
16-3-2024,2024,3,16,19,26,10,9.3,46.3,1010
17-3-2024,2024,3,17,18,24,12,10.6,0,1010.4
18-3-2024,2024,3,18,16,22,10,9.9,0,1011.3
19-3-2024,2024,3,19,20,32,10,6.9,57.4,1004.8
20-3-2024,2024,3,20,20,27,14,26.5,61.1,1004.7
21-3-2024,2024,3,21,10,16,4,8.1,33.3,1018.5
